name,typ,node,maxcap,deratef_2016,deratef_1976,deratef_1977,deratef_1978,deratef_1979,deratef_1980,deratef_1981,deratef_1982,deratef_1983,deratef_1984,deratef_1985,deratef_1986,deratef_1987,deratef_1988,deratef_1989,deratef_1990,deratef_1991,deratef_1992,deratef_1993,deratef_1994,deratef_1995,deratef_1996,deratef_1997,deratef_1998,deratef_1999,deratef_2000,deratef_2001,deratef_2002,deratef_2003,deratef_2004,deratef_2005
PatumRiceMill1,biomass_st,Rayong,9.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GlowSppPhase4No1,coal_st,Rayong,304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ghecoone,coal_st,GhecoOne,660,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rayongu2,gas_cc,Rayong,587.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rayongu3,gas_cc,Rayong,587.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MuangCogen1No1,coal_st,Rangsit,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GlowSppPhase4No3,coal_st,Rayong,182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blcp1,coal_st,Rayong1,717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Blcp2,coal_st,Rayong1,717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RayongSipcoSc1,wsth_st,Rayong2,387.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EasternSugar3,biomass_st,Sadao,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MgpMahachaiGreen1,biomass_st,SamutSakhon1,9.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NongSaeng1Gt1,gas_gt,Saraburi2,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TpiPower1,gas_ic,Saraburi1,69.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NongSaeng1Gt2,gas_gt,Saraburi3,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
